Gloss	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
KNEE_4					ifuɡamilo																																
KNEE_5						okujwi																	okuju														
KNEE_6							dwi																														
KNEE_7								elu	iru																												
KNEE_8										pumuna																											
KNEE_9											kikulu							onɡolo			idolo									ʦolo	ʣolo		onɡolo		idolo		idolo
KNEE_10												libɔlɔnɡɔ																								bɔnɡɔ	
KNEE_11													liŋwele																								
KNEE_12														kunwi					ɡuŋɡuni	ɡuŋɡuno						ekununɡu											
KNEE_13															ʧinu																						
KNEE_14																nikutʰa																					
KNEE_15																	nri																				
KNEE_16																						bondo						ɡoti	iɡondo								
KNEE_17																									bʋi		izwi										
KNEE_18																																ŋɔlɛ					
KNIFE_1	peni																																				
KNIFE_2		oken	okəŋ																															ɡona			
KNIFE_3				kiso																								kisu									
KNIFE_4					mmaaje																																
KNIFE_5						omuhjo																	omusjo														
KNIFE_6							panɡa															lupanɡa			banɡa											baka	
KNIFE_7								kaβjo	kahio																												
KNIFE_8											mbele	mbɛli			keele																						
KNIFE_9																mwaalo																					
KNIFE_10																	jaandu																				
KNIFE_11																			sembea																umbese		ummese
KNIFE_12																				ʃoononde																	
KNIFE_13																					inǃ̬ʱamu																
KNIFE_14																								imbuɡita													
KNIFE_15																										kafete											
KNIFE_16																											luʃu										
KNIFE_17																														mukʼwana	mukwana						
KNIFE_18																																tʰipa					
KNIFE_19																																	omoku				
KNOW (SOMETHING)_1	isiba						ziba				zaba	jeba	ziba									ʣiwa			ziʋa				zʲiba	tiva	tiva			dʰiβa			
KNOW (SOMETHING)_2		jem	jəm																																		
KNOW (SOMETHING)_3				maɲa	maɲa	maɲa		maɲa	mɛɲa						maɲa		maɲa						maɲa	meɲa			mana										
KNOW (SOMETHING)_4										ijia																						iʦɪ					
KNOW (SOMETHING)_5														juka												uka											
KNOW (SOMETHING)_6																ʧuwela		ʦeja	ʒua	ʤua								ʄua									
KNOW (SOMETHING)_7																					azi														azi		azi
KNOW (SOMETHING)_8																																	kuliha				
KNOW (SOMETHING)_9																																				pi	
LEAF_1	ilibuːla																																				
LEAF_2		kae																																			
LEAF_3			okjɛɲ																																		
LEAF_4				kikoola																																	
LEAF_5					ihaanze			eðaŋɡo	iθaŋɡo																											anɡɔ	
LEAF_6						ekibabi																	eibabi	ibabi											iǃ̬ʱabi		
LEAF_7							ʒani							mani					uwani	wani								ʄani									
LEAF_8										difu								efo																			
LEAF_9											lukaja																			tlula	tluka						
LEAF_10												lokasa																									ikʰasi
LEAF_11													litali																			t͡ɬʰarɪ		tari			
LEAF_12															djaɲe																						
LEAF_13																niwamba					iɬamvu																
LEAF_14																	iru										idutu		itu								
LEAF_15																						ʦamba															
LEAF_16																									ʃiʒ̤a												
LEAF_17																										esaki											
LEAF_18																																	emela				
LEG_1	ukuːlu			kuɡulu		okuɡulu		koo	koɣoro			lokolo			mukolo			okuɡulu					okuɡuru	ukuɡuru		mukolo	ɡuɡulu		kuulu				okulu				
LEG_2		abo	abɔ																																		
LEG_3					mɡulu						malu																	mɡuu									
LEG_4							ɡumbo																		ɡumbo												
LEG_5										kinama																											
LEG_6													lihutu																								
LEG_7																mwetto			munɖu	mndu		endo															
LEG_8																	urende													nenɡe	nenɡe						
LEG_9																					umlenze													mulenʒe	umlenze		umlenze
LEG_10																																t͡ɬʊχa					
LEG_11																																				ko	
LIVER_1	ilibu											libale																									
LIVER_2		osaɲ																																			
LIVER_3			esəʔ																																		
LIVER_4				kibumba																																	
LIVER_5					itoɡa																																
LIVER_6						omwiilima																															
LIVER_7							lopa																		ropa												
LIVER_8								etɛma							muʧima		irima										itima										
LIVER_9									ini																			ini	muni								
LIVER_10										nzundu	nsoko																										
LIVER_11													sibiti								isibindi	windi								ʃivinʣi	ʧivinʣi	bɪtɪ		ʧiβindi	isibindi		isibindi
LIVER_12																hapa																					
LIVER_13																		ehuli																			
LIVER_14																			ɲe	ɲe			ekine														
LIVER_15																								iɡitiɡu													
LIVER_16																										eʃimbadifite											
LIVER_17																																	omuma				
LIVER_18																																				bae	
LOUSE_1	inda					endai		ndaa	ndaːa				nda				nda		nɖa	nda			enda	inda	inda		nda					nta		nnda			
LOUSE_2		njin	ɲin																										njina								
LOUSE_3					mpani																																
LOUSE_4										ina	sina							ona															ona				
LOUSE_5												sili																								sidi	
LOUSE_6														kuso	nkusu											nkisa											
LOUSE_7																iʈʰupo																					
LOUSE_8																					intwala									n̤wala	n̤wala				intwala		intwala
LOUSE_9																						sabwe															
LOUSE_10																												ʧawa									
MAN_1	umwaːume				mulume		lume	omɛ						mwanamulume	mulume			omulumentu		mume					murume	mulume		mwanamume					ulume				
MAN_2		fam	fam																																		
MAN_3				musajja																																	
MAN_4						ʃaija																	ʃaija														
MAN_5									ɲjamba																												
MAN_6										diala																											
MAN_7											jakala																										
MAN_8												mobali							mnʈubaba																		
MAN_9																nlopwana													mulombwana								
MAN_10																	nndumi																				
MAN_11																					indoda														indodaama		indoda
MAN_12																						amna															
MAN_13																								inɡabo													
MAN_14																											nɡoʃi										
MAN_15																														wanuna	wanuna			muluna			
MAN_16																																				to	
MOON_1	umwesi			mwezi	mweezi	omwezi	ŋweʣi	mwɛi	mwɛri				kweli	kwezi	mwenzi	mweeri	mwiiri	omweʤi	mwezi	mwezi		ezi	okwezi	ukwezi	mweʣi	mweʃi	ŋweji	mwezi	mwezi					mweʣi			
MOON_2		nɡon	ŋɡwan								nɡonda																										
MOON_3										mbeji																											
MOON_4												sanza																								sonɡe	
MOON_5																					injanɡa														injanɡa		iɲanɡa
MOON_6																														nhweti	hweti	ǃʰwedi					
MOON_7																																	esaji				
MOUTH_1	akanwa							kaɲẅa	kanua	dikanu				kjakanwa	mukana		kana	okana		haɲwa			akanwa			kukanwa		kiɲwa	kanwa								
MOUTH_2		anju	aɲu																																	nua	
MOUTH_3				kamwa																		kamwa															
MOUTH_4					mlomo		lomo						mulomo								umlomo				romo		nomo			nomo	nomo	lomʊ		mulomo	umlomo		umlomo
MOUTH_5						omunwa					nwa													umunwa									omena				
MOUTH_6												monɔkɔ																									
MOUTH_7																malaku																					
MOUTH_8																			haɲo																		
NAME_1	isiːna			linɲa			zina			dijina	zina			diːzina	dina		irina	eʤina	ʣina	ʣina		ʣina	eiziina	izina		eʃina	lina	ʄina	zina			ina		ʣina		ina	
NAME_2		joe																																			
NAME_3			ejola																																		
NAME_4					itaɡwa			esjetwa	ritwa																zita												
NAME_5						eibala																															
NAME_6												nkombo																									
NAME_7													libizo								ibizo									vito	vitu						
NAME_8																ʔnʧina																					
NAME_9																																	onduko				
NAME_10																																			iɡama		ikama
NAVEL_1	mutoto											motolu																									
NAVEL_2			dɔp																																		
NAVEL_3				kkunda																			enkundi				nkundi										
NAVEL_4					ciduo														ʈunʈu																		
NAVEL_5						omukundi		mokɔɲɔ	mukɔɲɔ															umukondo													
NAVEL_6											nkumba											ʧombo												mukombo			
NAVEL_7													makubu		mufu					kovu					ɡuv̤u			kitovu									
NAVEL_8																nttekʰu																					
NAVEL_9																	kiboʃo																				
NAVEL_10																					inkaba									ŋkaβa					iŋkʼaba		inkaba
NAVEL_11																										musuku											
NAVEL_12																																hubu					
NAVEL_13																																				ɛsɛ	
NECK_1	umukoʃi																					kʰosi		izosi													
NECK_2		tjin	kiŋ																																		
NECK_3				bulaɡo																																	
NECK_4					siiŋɡo			ŋɡiŋɡɔ	ŋɡiŋɡɔ	ʃinɡu	nsinɡu	nkinɡo		nʃinɡo	nʃiŋu		sunɡo	oθinɡo	nʦiŋɡo	nʦiŋɡo						nʃinɡo	n̤inɡo	ʃinɡo	nsinɡo				osinɡo			kinɡo	
NECK_5						enɡoto																															
NECK_6							ʦʰibʱa																		muʦipa									muʦinɡa			
NECK_7													mulala																			lala					
NECK_8																isiko																					
NECK_9																					intamo									n̤amu	n̤amu				intamo		intamu
NECK_10																							ebiʦja														
NIGHT_1	ubusiku						siku						busihu	bufuku				uusiku		masihu	ubusuku	siku			usiku	bufuku	bujiku	usiku	busiku	vusiku	wusiku	siχʊ		βusiku	ubusuku		ubusuku
NIGHT_2		alu	alu																																		
NIGHT_3				kiro	cilo	ekilo																	ekiro	ijoro													
NIGHT_4								otuko	otuko	usuku					butuku				uku														uteke				
NIGHT_5											mpimpa																										
NIGHT_6												butu																								butu	
NIGHT_7																uhiju																					
NIGHT_8																	jijo																				
NOSE_1	umoːna																																				
NOSE_2		joe																																			
NOSE_3			ʤwiɲ																																		
NOSE_4				nɲindo		eɲindo																	eɲindo														
NOSE_5					mpula												mbua		mpua	mbua								pua									
NOSE_6							milo							muːlu																						miɔ	
NOSE_7								eɲoo	inoro			nzolo						ejulu						izuru			ljulu						eɲulu				
NOSE_8										zunu																											
NOSE_9											mbombo															mpembe											
NOSE_10													ŋɡo																			ŋkɔ		ninɡo			
NOSE_11															djuludiulu																						
NOSE_12																noroo																					
NOSE_13																					impumulo														pumlo		
NOSE_14																						funo			m̤uno												
NOSE_15																													impemo								
NOSE_16																														n̤omp͡fu	n̤ovu						
NOSE_17																																					ikʰala
ONE_1	mo			mu	moŋɡa	emoi				moʃi	mosi	mɔkɔ		mo		moka			moʒa	monʦi		moʣi				mone	imo	moʄa					mosi			emɔti	
ONE_2		fok																																			
ONE_3			bɔʔɔ																																		
ONE_4							nʔompela																														
ONE_5								mwɛ	emwɛ						mwe		jimwi	mwe					mwe	mwe	mwe				mwe								
ONE_6													ŋwi								ɲe									nwe	nwe	ŋwɪ			ɲe		ɲe
ONE_7																																		tʰihi			
ORGANIC FAT OR OIL_1	amafuta			mafuta	mafuta	amajuta	futa	mauta	maɣuta		mafuta	mafuta	mafula		mafuta	makʰura	mafura			mafura	amafutʰa	futa	amajuta	amavuta	mafuta		maɡuta	mafuta	mafuta	mafurʱa	mafura	fura		map͡fura	amafutʰa		amafutʰa
ORGANIC FAT OR OIL_2		avon	avɔŋ																																		
ORGANIC FAT OR OIL_3										maji				mani					maʈa																		
ORGANIC FAT OR OIL_4																		omakaɡaʤi																			
ORGANIC FAT OR OIL_5																										mwimu											
ORGANIC FAT OR OIL_6																																	ulela				
ORGANIC FAT OR OIL_7																																				boadi	
PERSON_1	umuntu			omuntu	muuntu	omuntu		moːndo	mondo	mutu	muntu	moto	mutu	muntu	muntu			omuntu	munʈu	mnɖu	umuntu		omuntu	umuntu	mun̤u	muntu	mun̤u	mtu	muntu	mun̤u	mun̤u		omunu	mutʰu	umntu		umuntu
PERSON_2		mot	mbot																																		
PERSON_3							tʰu										ndu					ntʰu										tʰʊ				to	
PERSON_4																ʔnttʰu																					
RAIN (PRECIPITATION)_1	mfula				mvula			mbua	mbura	nvula	mvula	mbula	pula	mvula	mvula	ipula	fua	omvula	vua			bvula		imvura	mʋura		mbula	mvua	mvula	mp͡fula	vula	pula	ombela	mvula	imvula	mbua	imvula
RAIN (PRECIPITATION)_2		mven	mvəŋ																							mpeʃi											
RAIN (PRECIPITATION)_3				nkuba																																	
RAIN (PRECIPITATION)_4						enjula																	enjura														
RAIN (PRECIPITATION)_5							na													ɲa	na																
ROAD_1	nsila				nzila		zila	nzea	ɲjera	njila	nzila	nzela	nzila		nzila									inzira	nzira		nzila	nʄia	inzila	nd͡lela	nd͡lela	ʦɪla		ndʰila	ind͡ɮela		ind͡ɮʱela
ROAD_2		zen	zən														ʃija																				
ROAD_3				kkubo																																	
ROAD_4						omuhanda								diːʃinda									omuhanda			eʃinda											
ROAD_5																nttala						jira															
ROAD_6																		ondjila															oudjila				
ROAD_7																			pare	pare																	
ROAD_8																					umɡwaǃo																
ROAD_9																																				ndia	
ROOT_1	umusila					omuzi		moi	mori		mwansi		mubisi		muzi			omuʤi	mwizi	mzi			omuzi	umuzi	muʣi	muʃi		mzizi						muʣi			
ROOT_2		nkaɲ	ŋkaŋ																																		
ROOT_3				mulandila	mdela																																
ROOT_4							ʣi																									di					
ROOT_5										ndanji						nritaatʰi																					
ROOT_6												mokanɡa																	imujanda								
ROOT_7														ji																							
ROOT_8																	nrari																				
ROOT_9																					impande																impande
ROOT_10																						zu															
ROOT_11																											nzwi									nɡili	
ROOT_12																														riminʦu	liminʦu						
ROOT_13																																	olumbombo				
ROOT_14																																			inɡǀambu		
SALT_1	ʧele														mukelea							ʧere															
SALT_2		nku	ŋku																																	kua	
SALT_3				munɲo	mwiino	mwoɲu		moɲo	mooɲo											mɲo			omwoɲo	umwuɲu	muɲu		mun̤u	muɲu		muɲu							
SALT_4											munɡwa	monɡwa														munɡwa							omonɡwa				
SALT_5																maakʰa																		mataβa			
SALT_6																	ʃimbi																				
SALT_7																			ʃiŋɡo																		
SALT_8																					iʧwʔaji																iʦwaji
SALT_9																																ʦwai					
SALT_10																																			itjuwa		
SAND_1	umusenɡa				mhaaŋka				moθaŋɡa	senɡe	senɡi			musenɡa			nsanɡa		mʦaŋɡa	mʦaŋɡa		ʧenɡa						mʧanɡa	musenɡa								
SAND_2		nselek	nsələʔ																																		
SAND_3				museɲu		omuʃeɲe									luseŋa								omuʃeeɲi	umuseɲi													
SAND_4							seʧe																								seke						
SAND_5								keðaŋɡaðe																												kɛnzɛ	
SAND_6												zɛlɔ																									
SAND_7													muʃabati								isiɬabatʰi																isiɬabatʰi
SAND_8																ʔnhaava																					
SAND_9																		evi															eve				
SAND_10																									jeʧa												
SAND_11																										mafjenkjeɲi											
SAND_12																														sava		ʃawa					
SAND_13																																			isanti		
SEE_1	mona				wona	bona		ɔna	ɔna	mona	mona	mona	bona	mona	mona	oona		mona	ona	ona	bona	ona		bona	ona	mona	bona	ona	bona	vona	wona	bɔna		βona	bona		bona
SEE_2		jen	jen																																		
SEE_3				laba																			reeba														
SEE_4																	lolija																				
SEE_5																																	mola				
SEE_6																																				ta	
SEND_1	tum																																			tim	
SEND_2		lom	lom																																		
SEND_3				weeliza																																	
SEND_4					tuma	tuma	tuma	toma	toma		tuma		tuma		tuma	ruma	ruma			ruma	tʰuma	tuma	tuma	tuma	tuma	tuma		tuma		r̥uma		rʊma	tuma	ruma	tʰuma		tʰuma
SEND_5												tinda																									
SEND_6																											twala										
SHAME_1	soni			nsoɲi	soni	enʃoni		nðɔni			nsoni					isoni	sonu						enʃoni	isoni			soni							βutoni		sɔni	
SHAME_2			oswan																																		
SHAME_3							haɲa																														
SHAME_4									ʃɔnɔka																												
SHAME_5															bumvu																						
SHAME_6																			haja																		
SHAME_7																				aibu								aibu									
SHAME_8																					amaɬoni																amaɬoni
SHAME_9																						ɲazi			ɲaʣi												
SHAME_10																														tʼiŋɡana							
SHAME_11																																t͡ɬʰoŋ					
SHAME_12																																			toxo		
SING_1	imbu						mba																													lemb	
SING_2		jia	ajiɛ																																		
SING_3				kujimba	imba							jemba			imba		iimba					imba		kuririmba	imba		kwimba	imba					imba	imba			
SING_4						kuhooja																															
SING_5								ina	ina																												
SING_6											jimbila																			jimbelela							
SING_7													nɡuja																								
SING_8																wiipesa			heʣa	heza																	
SING_9																					ɬabelela											ɔpɛla					
SING_10																							kweʃonɡora														
SING_11																																			ukuǀula		ǀula
SKIN_1	nkanda			nkuta			ɡanda				nkanda						ikanda								ɡanda				icikanda					lukanda		kata	
SKIN_2		ekop	ekop											lukoba	dikoba											ekoba							ekova				
SKIN_3					ɲciiŋɡo																																
SKIN_4						omubilihomme																															
SKIN_5								kekɔndɛ	ɣekɔndɛ																												
SKIN_6										kiba								oʃipa																			
SKIN_7												loposo																									
SKIN_8													litalo																								
SKIN_9																nrapala																					
SKIN_10																			ŋɡozi	ŋɡozi		nɡuo						nɡozi									
SKIN_11																					isiɡoɡo		ekiʃuʃu														
SKIN_12																								uruhu													
SKIN_13																											iɡula										
SKIN_14																														nɬonɡe	ɬonɡe						
SKIN_15																																t͡ɬapɪ					
SKIN_16																																			ijwambu		
SKIN_17																																					isikʰumba
SKY_1		jop	ʣop																																		
SKY_2				ɡɡuru		eiɡulu			iɣoro		zulu	likolo											eiɡuru	ijuru										lʰitʰadʰulu	izulu		izulu
SKY_3					ulaŋɡa																				denɡa												
SKY_4								jajaja																													
SKY_5															djulu															tʼilo							
SKY_6																irimu																					
SKY_7																	iruveu																				
SKY_8																			wiŋɡu	biŋɡu								uwinɡu									
SKY_9																					isibakabaka																
SKY_10																						tʰambo														nzambe	
SKY_11																										eilu											
SKY_12																																api					
SLEEP (STATE)_1	utulo			otulo		otulo		tɔɔ	tɔrɔ		tulu				tulu							tulo		amatiro		tulo	tulo						etulo				
SLEEP (STATE)_2		ojo	ojo																																		
SLEEP (STATE)_3					ntooŋɡo							mpɔnɡi																								tɔnɡi	
SLEEP (STATE)_4							nkopeʃulo																														
SLEEP (STATE)_5										kilu																											
SLEEP (STATE)_6																ikʰove									hope									kʰoɸe			
SLEEP (STATE)_7																	nruo																				
SLEEP (STATE)_8																		oomposi																			
SLEEP (STATE)_9																			lala	lala																	
SLEEP (STATE)_10																					ubutʰonɡo									βur̥oŋɡo		rɔkɔ			ubutʰoŋɡo		ubutʰoŋɡo
SLEEP (STATE)_11																							okuɡwejeɡjera														
SLEEP (STATE)_12																												sinɡizi									
SLEEP (STATE)_13																													nɡonzi								
SMOKE (EXHAUST)_1	iʧunsi																																				
SMOKE (EXHAUST)_2		otita	oʦira																																		
SMOKE (EXHAUST)_3				mukka																																	
SMOKE (EXHAUST)_4					ljoosi			sjoki																													
SMOKE (EXHAUST)_5						omwiika																	omwika	umwoʦi													
SMOKE (EXHAUST)_6							si			diʃi										ʤosi		ʦi										si					
SMOKE (EXHAUST)_7									ndɔːɣɔ																												
SMOKE (EXHAUST)_8											mwisi			mwiʃi	mwinʃi	mwiiʃi	musu	olwiθi								miʃi							owisi				
SMOKE (EXHAUST)_9												molinɡa									tʰunǃa																
SMOKE (EXHAUST)_10													musi						mosi						uʦi			moʃi		musi	musi			muʦi	umsi	mue	umusi
SMOKE (EXHAUST)_11																											ljoʧi										
SMOKE (EXHAUST)_12																													ibusi								
SNAKE_1	iʧilamba																																				
SNAKE_2		njo	ɲo																															nʰowa			
SNAKE_3				musota																																	
SNAKE_4					nzoka	enjoka	ɲoka	nzoka				njoka	noha		nnjoka		ʃoka		ɲoha	ɲoha	injoka		enjoka	inɡoka	ɲoka	nioka	nzoka	ɲoka		ɲokʼa	ɲoka	nɔχa			iɲoka		iɲoka
SNAKE_5									ɲamojaðe																												
SNAKE_6											mboma																										
SNAKE_7																inwaa																					
SNAKE_8																						nʣiira															
SNAKE_9																																	onjoha				
SNAKE_10																																				nzɔ	
SPEAR_1	ifumo			ffumu											difuma		ifumu		fumo	fumu					p͡fumo					fumo		rumɔ		p͡fumo			
SPEAR_2		akon	akɔŋ									likɔnɡo																								kɔnɡɔ	
SPEAR_3					mɡoha																																
SPEAR_4						eiʧumu																	eiʧumu														
SPEAR_5								etumɔ	itimo																		iʧimu										
SPEAR_6											dionɡa											tʰunɡo															
SPEAR_7																nivaka																					
SPEAR_8																					ɡwaza																
SPEAR_9																								iterano													
SPEAR_10																										mulumbu											
SPEAR_11																												mkuki									
SPEAR_12																																	onjelia				
SPEAR_13																																			umkʰonto		umkʰonto
STEAL_1	ibu			bba		iba	iba				jiba	jiba			iba		iva		hiba	hiba	eba	ba	iba	iba	ba		iba	iba		jiβa	jiva		iva		eba		eba
STEAL_2		wup	wup																																		
STEAL_3					hiiza											iija																					
STEAL_4								ŋɛa																													
STEAL_5									ija																												
STEAL_6																																		ʦwa			
STEAL_7																																				jib	
STONE_1	ilibwe				ibwe		bɡe							diːbwe	dibwe		iwe		bwe	bwe					bwe	ebwa	iwe	ʄiwe	ibbwe				ewe				
STONE_2		akok	akɔʔ																																		
STONE_3				ejjinja														emanja																			
STONE_4						eibale																	eibaare														
STONE_5								eβia	ihiɣa																												
STONE_6										tadi	tadi																					t͡ɬapa					
STONE_7												libanɡa																									
STONE_8													liʧwe																								
STONE_9																ʔnluku																					
STONE_10																					iliʧʔe														ilitje		
STONE_11																						ala															
STONE_12																								ibuje						ribje						bue	
STONE_13																															ʃwa						
STONE_14																																		muʣiβo			
STONE_15																																					iʧe
SUN_1	akasuba				izuva	eizoba	ʒuba									nʧuwa	saa		ʒua	ʤua		ʣuwa	eizooba	izuba	zuʋa			ʄua	zuba								
SUN_2		jop	nloʣop																																		
SUN_3				njuba										djuba	diba											nɡuba								dʰuβa			
SUN_4								sjoa																													
SUN_5									rioa																												
SUN_6										muaɲa		moi																									
SUN_7											ntanɡu							etanɡo																			
SUN_8													lizazazi																			ʦaʦi					
SUN_9																					ilanɡa														ilanɡa		ilanɡa
SUN_10																											limi										
SUN_11																														djambu	ɡambu						
SUN_12																																	ekumbi				
SUN_13																																				ise	
TAIL_1	umukila			mukira	mucila	omukila				mukila	nkila	mokila		kila	mukila	mwila		omuʃila	mʃia	mʃia		ʧira	omukira		muʧira	mukila	nkila	mkia	mucila	nʧila	ʧila		ukɪ̠l̠a̠	muʧila	umsila		umsila
TAIL_2		njem	ŋɡjem																																		
TAIL_3							ŋwise	mweðɛ																													
TAIL_4									mutiːŋɡɔɛ																												
TAIL_5													muhata																			χat͡ɬa					
TAIL_6																	njija																				
TAIL_7																					isisila																
TAIL_8																								umurizo													
TAIL_9																																				mbanɡu	
TEN_1	kumi			kkumi	ikumi	ikumi	ɡumi	ekomi	ikumi		kumi	zomi	liʃumi		diikumi		ikumi		kumi	kume	ʧumi	kʰumi	ikumi	icumi	ɡumi	ekumi	ikumi	kumi		kʰume		sʊmɛ		fumi	iʃumi	kamɔ	jiʃumi
TEN_2		awom	awom																																		
TEN_3																																	ekwi				
THREE_1		la	laa																																		
THREE_2				satu		iʃatu			iθatu			misato											ʃatu			satu										sato	
THREE_3					datu		tʰatu	itato			tatu		talu			raru	firaru		raru	raru	tʰatʰu	itatu		tatu	n̤atu		idatu	tatu		r̥ar̥u	nʱaru	rarʊ	tatu	raru	tʰatʰu		tʰatʰu
THREE_4															satupronomnumeralʧardinal																						
TONGUE_1	ululimi			lulimi	ilimi	olurimi	limi	oemɛ	roreme	dimi	ludimi	lolemu	lulimi	ludimi	ludimi	nlumi	ulumi		ulimi	ulime	ulimi	lime	orurimi	ururimi	rimi	edimi	lulimi	ulimi		ririmi	lirimi	lɪmɪ	elimi	lulimi	ulwimi	leme	ulimi
TONGUE_2		ojem	ojəm																																		
TONGUE_3																		elaka											mulaka								
TOOTH_1	iliːno			elinɲo	liino	eliino	ʒino				dinu	lino	liino	dino	dinu	niino			ʣiɲo	ʣiɲo	iziɲo	ʣino	eriino	iriɲo	zino	eino	lino	ʄino	iliɲo	tino	tino	inɔ		lʰinʰo	iziɲo	ino	iziɲo
TOOTH_2		ason	asoŋ																																		
TOOTH_3								eɛɔ	iɣɛɣɔ									ejeɡo																			
TOOTH_4										diju																							eijo				
TOOTH_5																	mwiini																				
TREE_1	iʧimuti			muti	muti	omuti	ti	mote	mote						muʧi			omuti		mdri			omuti	iɡiti	muti			mti		murʱe			uti	muri	umtʰi		umutʰi
TREE_2		ele	ele																																	le	
TREE_3										muʃi				muʧi												muʦʰi											
TREE_4											nti						nri																				
TREE_5												nzete																									
TREE_6													kota																								
TREE_7																mwiri			mwiri																		
TREE_8																					isiɬaɬa																
TREE_9																						ntenɡo															
TREE_10																											linti										
TREE_11																													cisamu								
TREE_12																															siɲa						
TREE_13																																t͡ɬʰarɪ					
TWO_1	bili			bili		bili						mibale		bidi	bidi	ili	fivili		ili	ili	bili	iwiri	biri	biri	ʋiri		ibili	wili		mbirʱi	mbiri			βili			bili
TWO_2		bae											beli																			bedi				bae	
TWO_3			bɛɲ																																bini		
TWO_4					ɲejete																																
TWO_5								ile	iɣere		ole																		bile								
TWO_6										iadi																babidi											
TWO_7																		jaali															vaːli				
URINE_1	imisu										masuba	masuba														masukulu											
URINE_2		menjolok	məɲɔʔɔ												menjiu																						
URINE_3					matuunzi																																
URINE_4						enkali																	enkari														
URINE_5							tundo						muluto												mutundo					mur̥unʣu		rʊtɔ		murundo			
URINE_6								maumaɔ	maθuɣumɔ																												
URINE_7																maronjo																					
URINE_8																	mafaamu																				
URINE_9																			koʒo	koʤo		koʣo						koʄo									
URINE_10																					umʧamo														umʧamo		umʧamo
URINE_11																								isobwe													
URINE_12																											mine									biɲɛ	
VILLAGE_1	umuʃi												munzi						muʒi	mʤi	umuzi				muʃa					mutʼi				mudʰi			umuzi
VILLAGE_2		jal																																			
VILLAGE_3			ʣaa																								ʧalo										
VILLAGE_4				kjalo		ekʲalo																	ekjaro														
VILLAGE_5					cijiji											ikijiiji												kiʄiʄi									
VILLAGE_6								ndoa																													
VILLAGE_7									ɡiʃaɡi															iɡisaɡara													
VILLAGE_8											bwala																										
VILLAGE_9															musokou																						
VILLAGE_10																	jinɡu																				
VILLAGE_11																						ʣi										ʦɪ					
VILLAGE_12																										kikulu											
VILLAGE_13																																	imbo			mboka	
VILLAGE_14																																			idolopʰana		
VOMIT_1	luk																																				
VOMIT_2			jo																																		
VOMIT_3				sesema																																	
VOMIT_4					deeka	tabika		taβeka	taheka																			tapika									
VOMIT_5							tʰo																														
VOMIT_6											luka				luka									ruka	ruʦa	lasa	luka										
VOMIT_7												sanza										sanza								ɬantʼa			sanja				
VOMIT_8													taza										tanaka									t͡ɬʰaʦa					
VOMIT_9																rapʰjaa			raviha	raβiha																	
VOMIT_10																	jooka																				
VOMIT_11																					amaɬanzo													matanza			
VOMIT_12																																			ɡabʱa		
VOMIT_13																																				lo	
VOMIT_14																																					bujisa
WALK_1	enda				jeenda					enda	enda				enda	eetta		eenda		enda		jenda	ɡjenda						eenda				enda	enda			
WALK_2		wulu	wulu																																		
WALK_3				tambula		tambuka		tɛmbɛa				tambola												tambuka		tambuka		tembea								tambol	
WALK_4							nanɡajila							nanɡa																							
WALK_5									ʃɛːra																												
WALK_6													zamaja																								
WALK_7																	irajaaro																				
WALK_8																			daɡa																		
WALK_9																					hamba				famba					famba	famba				hamba		hamba
WALK_10																											siminza										
WAR_1	kondo															ikʰotto			ŋkonɖo	kodo		kʰondo			hondo												
WAR_2		bita			vita						vita				mvita		fira											kita					ovita			bita	
WAR_3			aluman																																		
WAR_4				lutalo																																	
WAR_5						endaʃana																															
WAR_6								kao																													
WAR_7									mbaːra																												
WAR_8												etumba									impi									ɲimpʼi							impi
WAR_9													muuna																								
WAR_10																							obweme														
WAR_11																								uruɡamba													
WAR_12																										nɡoji											
WAR_13																											buluɡu										
WAR_14																																ntwa		nndwa			
WAR_15																																			imfazwe		
WATER_1	amensi					emaizi			maːe		masa	mai				maaʃi			maʒi	maʤi	amanzi		amaizi	amazi			minzi	maʄi	imaanzi	mati	mati	meʦi		mad̪i	amanzi	mai	amanzi
WATER_2		mendim	mənʣim																																		
WATER_3				mazzi																																	
WATER_4					maleeŋɡa																																
WATER_5							vula																														
WATER_6								keɣwo																													
WATER_7										meɲa				mema												mema											
WATER_8													nezi																								
WATER_9															majimaaji																						
WATER_10																	mura								mʋura												
WATER_11																		omeja																			
WATER_12																						ʣi															
WATER_13																																	ovava				
WIND_1	ela																																ofela				
WIND_2		evunulu																																			
WIND_3			mfuã																																		
WIND_4				mpewo	mbeho		pʰepo					mopɛpɛ							mpevo	upepo		pʰepo			m̤epo			upepo				pʰɪfɔ					
WIND_5						omujaɡa															umoja		omujaɡa	umujaɡa						moja				muja	umoja		umoja
WIND_6								okoŋɡi																													
WIND_7									rohuːhɔ																												
WIND_8											kitembo																										
WIND_9																ipʰejo																					
WIND_10																	mburato																				
WIND_11																											ɲaɡa										
